verse_key,text_original,clean_verse
1:1,بِسمِ اللَّهِ الرَّحمـٰنِ الرَّحيمِ,بسم الله الرحمـٰن الرحيم
1:2,الحَمدُ لِلَّهِ رَبِّ العـٰلَمينَ,الحمد لله رب العـٰلمين
1:3,الرَّحمـٰنِ الرَّحيمِ,الرحمـٰن الرحيم
1:4,مـٰلِكِ يَومِ الدّينِ,مـٰلك يوم الدين
1:5,إِيّاكَ نَعبُدُ وَإِيّاكَ نَستَعينُ,اياك نعبد واياك نستعين
1:6,اهدِنَا الصِّرٰطَ المُستَقيمَ,اهدنا الصرٰط المستقيم
1:7,صِرٰطَ الَّذينَ أَنعَمتَ عَلَيهِم غَيرِ المَغضوبِ عَلَيهِم وَلَا الضّالّينَ,صرٰط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين
2:1,الم,الم
2:2,ذٰلِكَ الكِتـٰبُ لا رَيبَ ۛ فيهِ ۛ هُدًى لِلمُتَّقينَ,ذٰلك الكتـٰب لا ريب ۛ فيه ۛ هدى للمتقين
2:3,الَّذينَ يُؤمِنونَ بِالغَيبِ وَيُقيمونَ الصَّلوٰةَ وَمِمّا رَزَقنـٰهُم يُنفِقونَ,الذين يؤمنون بالغيب ويقيمون الصلوٰة ومما رزقنـٰهم ينفقون
2:4,وَالَّذينَ يُؤمِنونَ بِما أُنزِلَ إِلَيكَ وَما أُنزِلَ مِن قَبلِكَ وَبِالـٔاخِرَةِ هُم يوقِنونَ,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالـٔاخرة هم يوقنون
2:5,أُولـٰئِكَ عَلىٰ هُدًى مِن رَبِّهِم ۖ وَأُولـٰئِكَ هُمُ المُفلِحونَ,اولـٰئك علىٰ هدى من ربهم ۖ واولـٰئك هم المفلحون
2:6,إِنَّ الَّذينَ كَفَروا سَواءٌ عَلَيهِم ءَأَنذَرتَهُم أَم لَم تُنذِرهُم لا يُؤمِنونَ,ان الذين كفروا سواء عليهم ءانذرتهم ام لم تنذرهم لا يؤمنون
2:7,خَتَمَ اللَّهُ عَلىٰ قُلوبِهِم وَعَلىٰ سَمعِهِم ۖ وَعَلىٰ أَبصـٰرِهِم غِشـٰوَةٌ ۖ وَلَهُم عَذابٌ عَظيمٌ,ختم الله علىٰ قلوبهم وعلىٰ سمعهم ۖ وعلىٰ ابصـٰرهم غشـٰوة ۖ ولهم عذاب عظيم
2:8,وَمِنَ النّاسِ مَن يَقولُ ءامَنّا بِاللَّهِ وَبِاليَومِ الـٔاخِرِ وَما هُم بِمُؤمِنينَ,ومن الناس من يقول ءامنا بالله وباليوم الـٔاخر وما هم بمؤمنين
2:9,يُخـٰدِعونَ اللَّهَ وَالَّذينَ ءامَنوا وَما يَخدَعونَ إِلّا أَنفُسَهُم وَما يَشعُرونَ,يخـٰدعون الله والذين ءامنوا وما يخدعون الا انفسهم وما يشعرون
2:10,فى قُلوبِهِم مَرَضٌ فَزادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُم عَذابٌ أَليمٌ بِما كانوا يَكذِبونَ,فى قلوبهم مرض فزادهم الله مرضا ۖ ولهم عذاب اليم بما كانوا يكذبون
2:11,وَإِذا قيلَ لَهُم لا تُفسِدوا فِى الأَرضِ قالوا إِنَّما نَحنُ مُصلِحونَ,واذا قيل لهم لا تفسدوا فى الارض قالوا انما نحن مصلحون
2:12,أَلا إِنَّهُم هُمُ المُفسِدونَ وَلـٰكِن لا يَشعُرونَ,الا انهم هم المفسدون ولـٰكن لا يشعرون
2:13,وَإِذا قيلَ لَهُم ءامِنوا كَما ءامَنَ النّاسُ قالوا أَنُؤمِنُ كَما ءامَنَ السُّفَهاءُ ۗ أَلا إِنَّهُم هُمُ السُّفَهاءُ وَلـٰكِن لا يَعلَمونَ,واذا قيل لهم ءامنوا كما ءامن الناس قالوا انؤمن كما ءامن السفهاء ۗ الا انهم هم السفهاء ولـٰكن لا يعلمون
2:14,وَإِذا لَقُوا الَّذينَ ءامَنوا قالوا ءامَنّا وَإِذا خَلَوا إِلىٰ شَيـٰطينِهِم قالوا إِنّا مَعَكُم إِنَّما نَحنُ مُستَهزِءونَ,واذا لقوا الذين ءامنوا قالوا ءامنا واذا خلوا الىٰ شيـٰطينهم قالوا انا معكم انما نحن مستهزءون
2:15,اللَّهُ يَستَهزِئُ بِهِم وَيَمُدُّهُم فى طُغيـٰنِهِم يَعمَهونَ,الله يستهزئ بهم ويمدهم فى طغيـٰنهم يعمهون
2:16,أُولـٰئِكَ الَّذينَ اشتَرَوُا الضَّلـٰلَةَ بِالهُدىٰ فَما رَبِحَت تِجـٰرَتُهُم وَما كانوا مُهتَدينَ,اولـٰئك الذين اشتروا الضلـٰلة بالهدىٰ فما ربحت تجـٰرتهم وما كانوا مهتدين
2:17,مَثَلُهُم كَمَثَلِ الَّذِى استَوقَدَ نارًا فَلَمّا أَضاءَت ما حَولَهُ ذَهَبَ اللَّهُ بِنورِهِم وَتَرَكَهُم فى ظُلُمـٰتٍ لا يُبصِرونَ,مثلهم كمثل الذى استوقد نارا فلما اضاءت ما حوله ذهب الله بنورهم وتركهم فى ظلمـٰت لا يبصرون
2:18,صُمٌّ بُكمٌ عُمىٌ فَهُم لا يَرجِعونَ,صم بكم عمى فهم لا يرجعون
2:19,أَو كَصَيِّبٍ مِنَ السَّماءِ فيهِ ظُلُمـٰتٌ وَرَعدٌ وَبَرقٌ يَجعَلونَ أَصـٰبِعَهُم فى ءاذانِهِم مِنَ الصَّوٰعِقِ حَذَرَ المَوتِ ۚ وَاللَّهُ مُحيطٌ بِالكـٰفِرينَ,او كصيب من السماء فيه ظلمـٰت ورعد وبرق يجعلون اصـٰبعهم فى ءاذانهم من الصوٰعق حذر الموت ۚ والله محيط بالكـٰفرين
2:20,يَكادُ البَرقُ يَخطَفُ أَبصـٰرَهُم ۖ كُلَّما أَضاءَ لَهُم مَشَوا فيهِ وَإِذا أَظلَمَ عَلَيهِم قاموا ۚ وَلَو شاءَ اللَّهُ لَذَهَبَ بِسَمعِهِم وَأَبصـٰرِهِم ۚ إِنَّ اللَّهَ عَلىٰ كُلِّ شَىءٍ قَديرٌ,يكاد البرق يخطف ابصـٰرهم ۖ كلما اضاء لهم مشوا فيه واذا اظلم عليهم قاموا ۚ ولو شاء الله لذهب بسمعهم وابصـٰرهم ۚ ان الله علىٰ كل شىء قدير
2:21,يـٰأَيُّهَا النّاسُ اعبُدوا رَبَّكُمُ الَّذى خَلَقَكُم وَالَّذينَ مِن قَبلِكُم لَعَلَّكُم تَتَّقونَ,يـٰايها الناس اعبدوا ربكم الذى خلقكم والذين من قبلكم لعلكم تتقون
