verse_key,clean_verse,tafsir_ibn_kathir
1:1,بسم الله الرحمـٰن الرحيم,Tafsir text placeholder for verse 1:1
1:2,الحمد لله رب العـٰلمين,Tafsir text placeholder for verse 1:2
1:3,الرحمـٰن الرحيم,Tafsir text placeholder for verse 1:3
1:4,مـٰلك يوم الدين,Tafsir text placeholder for verse 1:4
1:5,اياك نعبد واياك نستعين,Tafsir text placeholder for verse 1:5
1:6,اهدنا الصرٰط المستقيم,Tafsir text placeholder for verse 1:6
1:7,صرٰط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين,Tafsir text placeholder for verse 1:7
2:1,الم,Tafsir text placeholder for verse 2:1
2:2,ذٰلك الكتـٰب لا ريب ۛ فيه ۛ هدى للمتقين,Tafsir text placeholder for verse 2:2
2:3,الذين يؤمنون بالغيب ويقيمون الصلوٰة ومما رزقنـٰهم ينفقون,Tafsir text placeholder for verse 2:3
2:4,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالـٔاخرة هم يوقنون,Tafsir text placeholder for verse 2:4
2:5,اولـٰئك علىٰ هدى من ربهم ۖ واولـٰئك هم المفلحون,Tafsir text placeholder for verse 2:5
2:6,ان الذين كفروا سواء عليهم ءانذرتهم ام لم تنذرهم لا يؤمنون,Tafsir text placeholder for verse 2:6
2:7,ختم الله علىٰ قلوبهم وعلىٰ سمعهم ۖ وعلىٰ ابصـٰرهم غشـٰوة ۖ ولهم عذاب عظيم,Tafsir text placeholder for verse 2:7
2:8,ومن الناس من يقول ءامنا بالله وباليوم الـٔاخر وما هم بمؤمنين,Tafsir text placeholder for verse 2:8
2:9,يخـٰدعون الله والذين ءامنوا وما يخدعون الا انفسهم وما يشعرون,Tafsir text placeholder for verse 2:9
2:10,فى قلوبهم مرض فزادهم الله مرضا ۖ ولهم عذاب اليم بما كانوا يكذبون,Tafsir text placeholder for verse 2:10
2:11,واذا قيل لهم لا تفسدوا فى الارض قالوا انما نحن مصلحون,Tafsir text placeholder for verse 2:11
2:12,الا انهم هم المفسدون ولـٰكن لا يشعرون,Tafsir text placeholder for verse 2:12
2:13,واذا قيل لهم ءامنوا كما ءامن الناس قالوا انؤمن كما ءامن السفهاء ۗ الا انهم هم السفهاء ولـٰكن لا يعلمون,Tafsir text placeholder for verse 2:13
2:14,واذا لقوا الذين ءامنوا قالوا ءامنا واذا خلوا الىٰ شيـٰطينهم قالوا انا معكم انما نحن مستهزءون,Tafsir text placeholder for verse 2:14
2:15,الله يستهزئ بهم ويمدهم فى طغيـٰنهم يعمهون,Tafsir text placeholder for verse 2:15
2:16,اولـٰئك الذين اشتروا الضلـٰلة بالهدىٰ فما ربحت تجـٰرتهم وما كانوا مهتدين,Tafsir text placeholder for verse 2:16
2:17,مثلهم كمثل الذى استوقد نارا فلما اضاءت ما حوله ذهب الله بنورهم وتركهم فى ظلمـٰت لا يبصرون,Tafsir text placeholder for verse 2:17
2:18,صم بكم عمى فهم لا يرجعون,Tafsir text placeholder for verse 2:18
